"UniqueCarrier" "Origin" "Dest" "Month" "DayOfWeek" "hour" "prop_30" "prop_60" "prop_80" "Time_Delay"
"1" "WN" "DAL" "HOU" 6 5 20 0.4125 0.175 0 160
"2" "WN" "HOU" "DAL" 2 5 19 0.403973509933775 0.119205298013245 0.00662251655629139 151
"3" "WN" "DAL" "HOU" 4 5 20 0.38 0.206666666666667 0.02 150
"4" "WN" "DAL" "HOU" 6 5 21 0.375 0.144736842105263 0 152
"5" "WN" "HOU" "DAL" 6 5 19 0.368098159509202 0.153374233128834 0 163
"6" "WN" "DAL" "HOU" 3 5 20 0.367088607594937 0.120253164556962 0.00632911392405063 158
"7" "WN" "HOU" "DAL" 10 5 19 0.36046511627907 0.145348837209302 0.0348837209302326 172
"8" "WN" "DAL" "HOU" 10 5 20 0.351515151515152 0.121212121212121 0.0181818181818182 165
"9" "WN" "DAL" "HOU" 6 5 18 0.350282485875706 0.15819209039548 0.00564971751412429 177
"10" "WN" "DAL" "HOU" 5 5 21 0.35 0.1125 0.0125 160
"11" "UA" "LAX" "SFO" 12 5 18 0.341772151898734 0.177215189873418 0.0126582278481013 158
"12" "WN" "HOU" "DAL" 6 5 20 0.337662337662338 0.12987012987013 0.012987012987013 154
"13" "WN" "DAL" "HOU" 5 5 20 0.3375 0.1625 0 160
"14" "WN" "HOU" "DAL" 2 5 18 0.333333333333333 0.139393939393939 0.00606060606060606 165
"15" "UA" "LAX" "SFO" 12 5 11 0.329268292682927 0.201219512195122 0.00609756097560976 164
"16" "WN" "HOU" "DAL" 5 4 18 0.325714285714286 0.16 0.0171428571428571 175
"17" "WN" "DAL" "HOU" 4 5 19 0.32258064516129 0.12258064516129 0.0193548387096774 155
"18" "WN" "HOU" "DAL" 6 5 17 0.319634703196347 0.146118721461187 0.0045662100456621 219
"19" "WN" "DAL" "HOU" 6 5 19 0.31875 0.0875 0.00625 160
"20" "WN" "HOU" "DAL" 10 5 20 0.31547619047619 0.113095238095238 0.0119047619047619 168
"21" "WN" "DAL" "HOU" 12 5 18 0.315217391304348 0.108695652173913 0.016304347826087 184
"22" "WN" "HOU" "DAL" 4 5 19 0.308176100628931 0.138364779874214 0.0251572327044025 159
"23" "WN" "DAL" "HOU" 2 5 18 0.307228915662651 0.120481927710843 0 166
"24" "WN" "DAL" "HOU" 12 5 19 0.307228915662651 0.108433734939759 0.0120481927710843 166
"25" "UA" "LAX" "SFO" 12 5 17 0.30379746835443 0.126582278481013 0.00632911392405063 158
"26" "WN" "DAL" "HOU" 9 5 20 0.3 0.09375 0 160
"27" "WN" "HOU" "DAL" 5 5 20 0.298780487804878 0.152439024390244 0.0121951219512195 164
"28" "UA" "LAX" "SFO" 10 5 18 0.298136645962733 0.180124223602484 0.0186335403726708 161
"29" "WN" "HOU" "DAL" 1 4 19 0.294117647058824 0.0915032679738562 0.0065359477124183 153
"30" "UA" "LAX" "SFO" 10 5 12 0.293333333333333 0.133333333333333 0.00666666666666667 150
"31" "WN" "HOU" "DAL" 12 5 20 0.291390728476821 0.105960264900662 0.0132450331125828 151
"32" "WN" "HOU" "DAL" 5 5 19 0.290123456790123 0.117283950617284 0.0123456790123457 162
"33" "WN" "DAL" "HOU" 8 5 20 0.289308176100629 0.0754716981132075 0 159
"34" "UA" "SFO" "LAX" 1 5 18 0.285714285714286 0.142857142857143 0.0062111801242236 161
"35" "WN" "HOU" "DAL" 10 5 17 0.284 0.136 0.016 250
"36" "WN" "DAL" "HOU" 5 4 19 0.283132530120482 0.126506024096386 0.0120481927710843 166
"37" "WN" "DAL" "HOU" 5 4 20 0.283018867924528 0.157232704402516 0.0125786163522013 159
"38" "WN" "HOU" "DAL" 3 5 20 0.283018867924528 0.113207547169811 0.0188679245283019 159
"39" "WN" "HOU" "DAL" 12 5 19 0.282208588957055 0.122699386503067 0.0122699386503067 163
